time_s,pos_fr3_joint1,pos_fr3_joint2,pos_fr3_joint3,pos_fr3_joint4,pos_fr3_joint5,pos_fr3_joint6,pos_fr3_joint7,pos_thumb_joint_0,pos_thumb_joint_1,pos_index_joint_0,pos_middle_joint_0,pos_ring_joint_0,pos_little_joint_0,vel_fr3_joint1,vel_fr3_joint2,vel_fr3_joint3,vel_fr3_joint4,vel_fr3_joint5,vel_fr3_joint6,vel_fr3_joint7,vel_thumb_joint_0,vel_thumb_joint_1,vel_index_joint_0,vel_middle_joint_0,vel_ring_joint_0,vel_little_joint_0,cmd_fr3_joint1,cmd_fr3_joint2,cmd_fr3_joint3,cmd_fr3_joint4,cmd_fr3_joint5,cmd_fr3_joint6,cmd_fr3_joint7,cmd_thumb_joint_0,cmd_thumb_joint_1,cmd_index_joint_0,cmd_middle_joint_0,cmd_ring_joint_0,cmd_little_joint_0
0.666666667,-0.494530052,0.376499414,0.0732388943,-2.1967237,1.59867966,1.98933089,-1.34080923,1.0782758,0.0230315253,6.70174632e-06,1.32741523,1.32773137,1.32776988,0.0487280823,0.26846227,-0.0875028148,0.117647588,-0.0821511596,-0.123758562,-0.464676946,-1.39652548e-06,-0.00122965872,-0.00154520944,-0.0016495504,-0.00430624653,0.000131466906,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.14838028,0.0670142919,0,1.33299983,1.33299983,1.33299983
0.733333333,-0.491148472,0.394226044,0.0668359399,-2.18854094,1.59275055,1.97940183,-1.37399638,1.0668807,0.0267612077,6.18786862e-06,1.32743859,1.32775331,1.32779539,0.0511999689,0.259658217,-0.100451097,0.133697867,-0.0864051878,-0.169018209,-0.459799796,-0.0814020187,0.0566951036,0.000313745346,0.000168350787,0.000515395543,-0.000145796745,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.06155694,0.0698407963,0,1.33299983,1.33299983,1.33299983
0.8,-0.487273753,0.410820305,0.0585481226,-2.1793921,1.58650219,1.96614957,-1.4059608,1.05811179,0.0301085413,1.20127488e-05,1.3274554,1.32776606,1.32781374,0.0611926429,0.237305179,-0.137476489,0.144955799,-0.102213323,-0.220911682,-0.446009159,-0.0965268314,0.0772636533,-0.00204062415,0.000527877826,0.000910089584,0.000190880251,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.05182457,0.0915730447,0,1.33299983,1.33299983,1.33299983
0.866666667,-0.483550042,0.425903946,0.0498557165,-2.17049718,1.58042204,1.9513551,-1.43625474,1.07445681,0.0252520926,1.78066493e-05,1.32746017,1.3277688,1.32781911,0.0503028445,0.21469219,-0.121142268,0.132314309,-0.0797407925,-0.227338165,-0.51962918,5.37000597e-06,-0.0773157328,0.00180137483,-0.000235637388,-0.000246279466,-0.000187035825,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.14947319,0.0831684619,0,1.33299983,1.33299983,1.33299983
0.933333333,-0.482124865,0.437629282,0.0465554111,-2.16753793,1.59818947,1.95329189,-1.47199011,1.06463158,0.0273607112,0.000792848936,1.33300006,1.33299971,1.33299994,0.0127931843,0.140949845,-0.0339067467,-0.0180197358,0.304606467,0.0497044772,-0.528984606,-0.128824711,-9.1839087e-05,1.20024197e-07,-3.28954775e-05,1.10653928e-05,-4.43474564e-05,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.05321527,0.0617830679,0,1.33299983,1.33299983,1.33299983
1,-0.482241541,0.444239289,0.0462774038,-2.17484188,1.61880887,1.95764375,-1.51249444,1.02193236,0.036485184,0.000818766071,1.33300042,1.33300018,1.33300018,-0.0104767308,0.0657005757,0.0131080439,-0.170052633,0.332983464,0.0635264367,-0.587038219,-0.546235621,-6.77779317e-05,6.68806024e-08,-1.72356122e-05,-2.50728817e-06,-2.99213207e-05,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.961111665,0.084588103,0,1.33299983,1.33299983,1.33299983
1.06666667,-0.483507991,0.443222225,0.048105184,-2.18937397,1.64460576,1.9562583,-1.55269659,0.970494926,0.0388187468,3.98950675e-07,1.33283901,1.33284426,1.33285975,-0.024588272,-0.0851547569,0.034377601,-0.250587851,0.367198497,-0.0364576392,-0.533805549,-0.641337574,0.0796742439,-2.712477e-08,-0.000114108901,-4.67720674e-05,-0.000174690125,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.900752485,0.0970813856,0,1.33299983,1.33299983,1.33299983
1.13333333,-0.48586154,0.434900522,0.051930353,-2.20847058,1.66952825,1.96010315,-1.58590925,0.997176111,0.0385658704,-2.61740894e-07,1.33287418,1.33288014,1.33289683,-0.0412377529,-0.154023901,0.069119364,-0.311484247,0.385295391,0.0791776925,-0.563838959,0.507445514,5.02411276e-05,5.36074367e-08,-2.85628194e-05,-4.08547057e-05,-1.75333407e-05,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.07089162,0.115378544,0,1.33299983,1.33299983,1.33299983
1.2,-0.489488244,0.424267352,0.0589093901,-2.22856903,1.69973361,1.96934891,-1.62606049,1.01001489,0.0385055318,4.64757022e-06,1.33299899,1.33299971,1.33299983,-0.0556567721,-0.169499084,0.106818929,-0.299106985,0.454464138,0.136076257,-0.588757575,0.0638197064,0.000101934624,0.00407968462,-0.000492819177,-0.000291700679,-0.000672020018,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.0361824,0.124063894,0,1.33299983,1.33299983,1.33299983
1.26666667,-0.493839204,0.412923485,0.067666471,-2.24892282,1.73065245,1.98026085,-1.66407788,1.03745568,0.0382623561,5.6124718e-06,1.33299971,1.33300018,1.33299911,-0.0650248751,-0.181097075,0.129042462,-0.313151836,0.483818799,0.132981881,-0.601091385,0.376143873,0.0255702548,0.00310763391,-0.000319170038,-4.18873533e-05,-0.000568664516,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.09913909,0.118162453,0,1.33299983,1.33299983,1.33299983
1.33333333,-0.498650163,0.401116222,0.0775621831,-2.26903963,1.76277053,1.99294925,-1.70112407,1.08153844,0.0254336167,4.664887e-06,1.33274066,1.33273816,1.33273482,-0.0706384405,-0.192351669,0.141907766,-0.293072581,0.4652282,0.162595704,-0.586366534,0.0659361184,-6.89893495e-05,0.00117760198,-0.000111317087,1.27160456e-06,-0.000237874148,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.2320807,0.134857193,0,1.33299983,1.33299983,1.33299983
