time_s,pos_fr3_joint1,pos_fr3_joint2,pos_fr3_joint3,pos_fr3_joint4,pos_fr3_joint5,pos_fr3_joint6,pos_fr3_joint7,pos_thumb_joint_0,pos_thumb_joint_1,pos_index_joint_0,pos_middle_joint_0,pos_ring_joint_0,pos_little_joint_0,vel_fr3_joint1,vel_fr3_joint2,vel_fr3_joint3,vel_fr3_joint4,vel_fr3_joint5,vel_fr3_joint6,vel_fr3_joint7,vel_thumb_joint_0,vel_thumb_joint_1,vel_index_joint_0,vel_middle_joint_0,vel_ring_joint_0,vel_little_joint_0,cmd_fr3_joint1,cmd_fr3_joint2,cmd_fr3_joint3,cmd_fr3_joint4,cmd_fr3_joint5,cmd_fr3_joint6,cmd_fr3_joint7,cmd_thumb_joint_0,cmd_thumb_joint_1,cmd_index_joint_0,cmd_middle_joint_0,cmd_ring_joint_0,cmd_little_joint_0
0,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.08601034,0.000275373313,0.214614779,1.33286381,1.33286917,1.33289063,0,0,0,0,0,0,0,4.99977978e-06,-0.000199460148,-2.41600646e-05,-1.774058e-05,9.09463051e-06,3.25811925e-06,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.08601034,0.000275373313,0.214614779,1.33286381,1.33286917,1.33289063
0.0666666667,-0.52358532,0.252461851,0.128741726,-2.17940545,1.66543162,2.04999733,-1.03254414,1.08638537,0.00129174825,0.157681599,1.3276211,1.32798839,1.32822967,0.0162161086,0.0403273217,-0.0354420096,-0.0579750389,-0.16283147,-0.109248221,-0.267151117,1.19313117e-05,-7.49656465e-05,-0.660525084,2.51503952e-05,5.0698698e-05,4.74392436e-09,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.22347188,0.0785663128,0.0897067562,1.33299983,1.33299983,1.33299983
0.133333333,-0.522716284,0.257566541,0.12746574,-2.18515611,1.65037107,2.04609919,-1.059093,1.07935584,0.012696987,0.0922902003,1.32719111,1.32760024,1.32785201,0.0133336885,0.0977877378,-0.0128602926,-0.0930895507,-0.178515688,-0.0459265187,-0.392925888,-2.96259532e-06,0.091438219,-0.885530651,2.06832192e-05,4.26652259e-05,3.707828e-08,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.16580439,0.102685317,0,1.33299983,1.33299983,1.33299983
0.2,-0.521929443,0.265481442,0.127194121,-2.19330025,1.63867819,2.04502797,-1.09014213,1.0794946,0.0139767658,0.0462854765,1.32717025,1.32758415,1.32783067,0.0117415087,0.1352496,0.0019098015,-0.124399826,-0.126573458,0.00352807157,-0.488525689,-1.74379893e-05,2.12719096e-05,-0.512787759,-0.00689892983,-3.33744538e-05,0.00543611171,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.23859751,0.0698838308,0,1.33299983,1.33299983,1.33299983
0.266666667,-0.519878268,0.277050644,0.12503542,-2.19994736,1.63512218,2.04449987,-1.12943828,1.07967997,0.0129258446,0.0221476387,1.32716441,1.32757854,1.32939029,0.0452285782,0.201585725,-0.0593421198,-0.0682574585,-0.0359704345,-0.0276935454,-0.588779032,-4.32355591e-07,-2.50767844e-05,-0.248005271,8.29539204e-06,1.6644015e-05,-5.04951458e-09,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.24616504,0.0540205389,0,1.33299983,1.33299983,1.33299983
0.333333333,-0.516039371,0.292387515,0.119356781,-2.20240688,1.62389195,2.04499054,-1.1592896,1.07967114,0.0132663297,0.0099453833,1.32690084,1.32729459,1.3290664,0.0649230927,0.246474996,-0.0992388129,-0.000229679135,-0.169731572,0.00175615156,-0.401595682,1.95850953e-06,0.000422318757,-0.109337166,6.65700645e-06,1.25167571e-05,2.01398507e-08,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.24616504,0.0638541505,0,1.33299983,1.33299983,1.33299983
0.4,-0.511245191,0.310121119,0.11174389,-2.20025706,1.61002588,2.04566216,-1.18394172,1.07967019,0.0130358133,0.000197995018,1.32724476,1.32760775,1.32931054,0.0717428401,0.271942616,-0.112449512,0.0651394576,-0.13743189,0.0153170656,-0.363196105,-5.71530109e-05,-0.0633990839,-0.193746358,0.0790004134,0.0746382326,0.0658984408,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.24616504,0.0572038144,0,1.33299983,1.33299983,1.33299983
0.466666667,-0.506029665,0.329007626,0.103084818,-2.19357991,1.59792209,2.04341054,-1.20819592,1.07964122,0.0130844526,2.96788653e-06,1.33122551,1.33116317,1.32974267,0.07916186,0.285857677,-0.134061143,0.137406394,-0.184243768,-0.0666361526,-0.332231492,1.6008471e-06,0.000459209026,6.13722368e-05,0.0608264655,0.0543949269,-7.7436307e-06,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.24616504,0.0590136945,0,1.33299983,1.33299983,1.33299983
0.533333333,-0.500433385,0.348276943,0.0929454565,-2.18219686,1.57730341,2.04149437,-1.22166157,1.07964134,0.0141974995,2.22188373e-06,1.33122957,1.33116698,1.32971835,0.0844575763,0.283415556,-0.15865615,0.201454625,-0.321183532,-0.0486388989,-0.151574254,1.10755682e-05,7.87285535e-06,-6.42106534e-06,-3.37472738e-06,-7.37982191e-06,8.90038791e-07,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.24115491,0.0804476738,0,1.33299983,1.33299983,1.33299983
0.6,-0.496284872,0.366341501,0.08552742,-2.16827297,1.54908693,2.04135323,-1.22380924,1.07920444,0.0149553837,4.31830449e-06,1.33098483,1.33092093,1.32946372,0.0445290506,0.255278081,-0.0721732378,0.221133351,-0.413244098,0.00496684574,0.00184393395,-5.16112777e-07,0.00098207593,0.0017118312,0.00177452341,0.00184290623,-0.000148211373,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.2102741,0.0895731598,0,1.33299983,1.33299983,1.33299983
